Artist,Title
Kina Grannis,Fast Car (feat. Kina Grannis)
Alexi Murdoch,Orange Sky
Ed Sheeran,Photograph
Bahamas,Lost In The Light
John Mayer,XO
Of Monsters And Men,Slow And Steady
The Barr Brothers,Love Ain't Enough
José González,Leaf Off / The Cave
Leon Bridges,Coming Home
Vance Joy,Georgia
Sam Smith,Latch - Acoustic
Angus & Julia Stone,Stay With Me - Live From Spotify Berlin
Bahari,Wild Ones
Craig Cardiff,Dirty Old Town
Iron & Wine,Naked As We Came
John Legend,All of Me - Live from Spotify Milan
Villagers,Nothing Arrived - Live from Spotify London
Beck,Blue Moon - Live From KCRW / 2014
Passenger,Let Her Go - Live At Spotify Amsterdam
Howie Day,Collide - Acoustic Version
Bon Iver,Skinny Love
Sufjan Stevens,To Be Alone With You
Roo Panes,Tiger Striped Sky
The Lumineers,Slow It Down
Ezra Vine,Celeste
Matt Nathanson,Come On Get Higher
Oscar Isaac,Fare Thee Well (Dink's Song)
Third Eye Blind,Motorcycle Drive By
The Shins,New Slang
Incubus,Drive
Kina Grannis,Chandelier
Erato,TGIM (Walter Mitty's Monday)
Hozier,Cherry Wine - Live
Band of Horses,No One's Gonna Love You - Live from Spotify Sweden
Down Like Silver,Light That Match
The Paper Kites,Bloom - Bonus Track
Fleet Foxes,Mykonos
The Civil Wars,Dust to Dust - Acoustic
Ane Brun,Halo
Bon Iver,Holocene
The Head And The Heart,Another Story
Ryan Adams,When The Stars Go Blue
Gavin DeGraw,Chariot - Stripped Version
John Mayer,Free Fallin' - Live at the Nokia Theatre
José González,Heartbeats
Ronnie Fauss,Song For Zula
Father John Misty,Funtimes in Babylon
The Goo Goo Dolls,Iris
Glen Hansard,Drive All Night (feat. Eddie Vedder & Jake Clemons)
Bowerbirds,Tuck the Darkness In
Milo Greene,Silent Way
BOY,Drive Darling
